DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	simple bar testing
LEGEND_TITLE	Example legend title
LEGEND_SHAPES	1	1	2	2
LEGEND_COLORS	#ff0000	#00ff00	#00ffff	#0000ff
LEGEND_LABELS	value1	value2	value3	value4
COLOR	#ffff00
WIDTH	1000
MARGIN	0
HEIGHT_FACTOR	1
BAR_SHIFT	0
BAR_ZERO	0

DATA
bin745	1299.85389613602
bin746	1254.24498749967
bin747	558.709130795309
bin753	182.435634545407
bin762	1071.80935295427
bin765	273.65345181811
bin771	79.8155901136156
bin773	0
bin775	45.6089086363517
bin779	456.089086363517
bin780	0
bin781	22.8044543181759
bin783	45.6089086363517
bin788	1334.06057761329
bin792	1094.61380727244
bin799	114.022271590879
bin811	171.033407386319
bin812	136.826725909055
bin815	1060.40712579518
bin817	342.066814772638
bin819	2006.79197999948
bin820	159.631180227231
bin833	11.4022271590879
bin835	11.4022271590879
bin838	45.6089086363517
bin852	478.893540681693
bin855	79.8155901136156
bin859	285.055678977198
bin868	171.033407386319
bin870	250.848997499935
bin872	775.35144681798
bin873	1163.02717022697
bin874	501.697994999869
bin875	524.502449318045
bin876	45.6089086363517
bin877	524.502449318045
bin878	399.077950568078
bin879	11.4022271590879
bin880	0
bin884	2018.19420715856
bin886	205.240088863583
bin887	843.764809772507
bin888	11.4022271590879
bin889	0
bin890	11.4022271590879
bin893	0
bin894	11.4022271590879
bin895	11.4022271590879
bin896	102.620044431791
bin897	45.6089086363517
bin916	22.8044543181759
bin920	946.384854204299
bin924	547.306903636221
bin925	250.848997499935
bin926	228.044543181759
bin928	524.502449318045
bin929	0
bin930	22.8044543181759
bin931	22.8044543181759
bin932	0
bin934	22.8044543181759
bin935	34.2066814772638
bin936	22.8044543181759
bin937	22.8044543181759
bin939	68.4133629545276
bin940	182.435634545407
bin943	193.837861704495
bin945	22.8044543181759
bin948	2371.66324909029
bin952	729.742538181628
bin954	57.0111357954397
bin955	136.826725909055
bin959	114.022271590879
bin962	68.4133629545276
bin965	0
bin967	205.240088863583
bin968	45.6089086363517
bin977	22.8044543181759
bin978	11.4022271590879
bin979	11.4022271590879
bin989	627.122493749837
bin990	136.826725909055
bin992	34.2066814772638
bin998	159.631180227231
bin999	22.8044543181759
bin1000	11.4022271590879
bin1001	0
bin1002	0
bin1004	228.044543181759
bin1006	114.022271590879
bin1014	387.67572340899
bin1025	570.111357954397
bin1030	159.631180227231
bin1031	22.8044543181759
bin1032	205.240088863583
bin1034	11.4022271590879
bin1038	0
bin1039	11.4022271590879
bin1040	11.4022271590879
bin1041	11.4022271590879
bin1045	148.228953068143
bin1048	148.228953068143
