DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	simple bar testing
LEGEND_TITLE	Example legend title
LEGEND_SHAPES	1	1	2	2
LEGEND_COLORS	#ff0000	#00ff00	#00ffff	#0000ff
LEGEND_LABELS	value1	value2	value3	value4
COLOR	#ffff00
WIDTH	1000
MARGIN	0
HEIGHT_FACTOR	1
BAR_SHIFT	0
BAR_ZERO	0

DATA
bin753	65.1596752730646
bin762	901.37550794406
bin765	19287.2638808271
bin771	86.8795670307528
bin773	1943.93031231309
bin775	23392.3234230302
bin779	173.759134061506
bin780	65.1596752730646
bin781	195.479025819194
bin783	195.479025819194
bin788	825301.587062757
bin792	1063286.44105175
bin799	54.2997293942205
bin811	333280.879075846
bin812	185683.354636476
bin815	888202.393593022
bin817	248877.37970547
bin819	2014878.33873958
bin820	154395.850559527
bin833	54.2997293942205
bin835	21.7198917576882
bin838	21.7198917576882
bin852	460016.447481957
bin855	90604.5284671963
bin859	220619.800528718
bin868	124802.498039676
bin870	237724.215287897
bin872	747631.254137264
bin873	948855.191326366
bin874	546048.93873416
bin875	667810.65192776
bin876	32.5798376365323
bin877	561459.20193624
bin878	281294.31815382
bin879	10.8599458788441
bin880	0
bin884	3877.00067874734
bin886	108.599458788441
bin887	97.7395129095969
bin888	65.1596752730646
bin889	10.8599458788441
bin890	0
bin893	0
bin894	0
bin895	0
bin896	21.7198917576882
bin897	0
bin916	21.7198917576882
bin920	390.958051638387
bin924	130.319350546129
bin925	336.658322244167
bin926	553.857239821049
bin928	684.176590367178
bin929	0
bin930	0
bin931	0
bin932	0
bin934	0
bin935	10.8599458788441
bin936	0
bin937	21.7198917576882
bin939	97.7395129095969
bin940	119.459404667285
bin943	195.479025819194
bin945	43.4397835153764
bin948	890.515562065216
bin952	162.899188182661
bin954	65.1596752730646
bin955	43.4397835153764
bin959	32.5798376365323
bin962	32.5798376365323
bin965	162.899188182661
bin967	423.53788927492
bin968	21.7198917576882
bin977	10.8599458788441
bin978	0
bin979	0
bin989	282.358592849946
bin990	97.7395129095969
bin992	0
bin998	21.7198917576882
bin999	0
bin1000	0
bin1001	0
bin1002	10.8599458788441
bin1004	76.0196211519087
bin1006	65.1596752730646
bin1014	86.8795670307528
bin1025	667973.551115943
bin1030	156785.038652872
bin1031	65.1596752730646
bin1032	65.1596752730646
bin1034	86.8795670307528
bin1038	43.4397835153764
bin1039	21.7198917576882
bin1040	130.319350546129
bin1041	695.036536246022
bin1045	77778.9323842814
bin1048	152484.50008485
bin1049	89062.4161524004
bin1051	716.75642800371
bin1052	32.5798376365323
bin1053	836.215832670995
bin1055	184.61907994035
bin1058	0
bin1060	86.8795670307528
bin1071	63704.4425252995
bin1081	108.599458788441
bin1083	21.7198917576882
bin1090	8829.13599950025
bin1091	7569.38227755433
bin1093	390.958051638387
bin1098	684.176590367178
bin1100	20796.7963579864
bin1102	115484.664475628
bin1108	226581.910816203
bin1114	213615.135436863
bin1115	557984.01925501
bin1116	320324.963642385
bin1131	3323.14343892629
bin1134	434.397835153764
bin1148	293.218538728791
bin1182	30896.5460253115
bin1183	332640.142268995
bin1195	412.677943396076
bin1200	477.83761866914
bin1201	423.53788927492
bin1202	141.179296424973
bin1224	54.2997293942205
bin1230	10.8599458788441
bin1237	466.977672790296
bin1239	228.058863455726
bin1242	21.7198917576882
bin1246	0
bin1252	575.577131578737
bin1256	141298.755829641
bin1257	0
bin1258	43.4397835153764
bin1259	0
bin1269	396040.506309687
bin1270	10.8599458788441
bin1271	0
bin1272	141.179296424973
bin1273	32.5798376365323
bin1274	0
bin1276	130.319350546129
bin1278	117797.832947822
bin1283	52051.7205972998
bin1284	358.378214001855
bin1285	189897.013637468
bin1287	141841.753123583
bin1291	853124.768404356
bin1294	7754.00135749469
bin1296	358.378214001855
bin1299	4094.19959632422
bin1300	96762.1177805009
bin1303	72424.9790660113
bin1308	341056.600325099
bin1315	294825.81071886
bin1316	174964.588054057
bin1317	107535.184092314
bin1325	162.899188182661
bin1328	933.955345580592
bin1332	130.319350546129
bin1333	206.338971698038
bin1337	86.8795670307528
bin1340	1846.1907994035
bin1344	1303.19350546129
bin1345	1162.01420903632
bin1346	2248.00879692073
bin1361	347.518268123011
bin1362	390.958051638387
bin1363	445.257781032608
bin1370	184.61907994035
bin1372	65.1596752730646
bin1387	54.2997293942205
bin1388	119.459404667285
bin1389	184.61907994035
bin1397	10.8599458788441
bin1399	43.4397835153764
bin1400	0
bin1405	304.078484607635
bin1411	54.2997293942205
bin1436	217.198917576882
bin1437	76.0196211519087
bin1438	54.2997293942205
bin1455	336.658322244167
bin1479	32.5798376365323
bin1480	32.5798376365323
bin1481	452186.426503311
bin1484	3877.00067874734
bin1485	3844.42084111081
bin1489	1400.93301837089
bin1493	10.8599458788441
bin1494	32.5798376365323
bin1498	2128.54939225344
bin1516	130.319350546129
bin1517	65.1596752730646
bin1520	65.1596752730646
bin1525	248671.040733772
bin1526	132458.759884261
bin1530	106633.80858437
bin1532	147988.482491009
bin1533	451056.992131911
bin1555	3073.36468371288
bin1556	1346.63328897667
bin1564	901.37550794406
bin1569	1390.07307249204
bin1576	1623127.51105204
bin1578	571960.769601082
bin1581	426046.536772933
bin1583	117363.435112668
bin1586	152343.320788425
bin1589	134066.03187433
bin1590	91712.2429468384
bin1592	116831.297764605
bin1594	84783.5974761359
bin1595	130.319350546129
bin1597	43.4397835153764
bin1602	196803.939216413
bin1603	443965.447473026
bin1604	104103.4411946
bin1605	338754.291798784
bin1610	65.1596752730646
bin1611	32.5798376365323
bin1618	0
bin1621	86.8795670307528
bin1622	553.857239821049
bin1624	54.2997293942205
bin1625	10.8599458788441
bin1630	10979.4052835114
bin1637	54.2997293942205
bin1642	152.039242303817
bin1643	857.935724428684
bin1644	86.8795670307528
bin1645	65.1596752730646
bin1646	445.257781032608
bin1648	228.058863455726
bin1649	152.039242303817
bin1650	0
bin1656	149628.334318714
bin1662	114051.151619621
bin1663	0
bin1664	10.8599458788441
bin1665	0
bin1666	10.8599458788441
bin1672	130.319350546129
bin1675	21.7198917576882
bin1683	1618.13193594777
bin1687	249.778755213414
bin1694	65.1596752730646
bin1695	10849.0859329653
bin1696	575.577131578737
bin1698	108.599458788441
bin1703	162.899188182661
bin1704	879.655616186372
bin1714	174910.288324663
bin1729	239668.14560021
bin1734	183044.387787917
bin1735	127995.322128057
bin1736	269815.355359882
bin1737	266372.752516288
bin1738	215059.50823875
bin1743	3237284.70680815
bin1763	142460.770038677
bin1766	129276.79574176
bin1774	2203070.34087407
bin1778	21.7198917576882
bin1780	108.599458788441
bin1787	86.8795670307528
bin1798	0
bin1806	76.0196211519087
bin1809	32.5798376365323
bin1814	10.8599458788441
bin1817	10.8599458788441
bin1818	32.5798376365323
bin1819	282.358592849946
bin1820	1746691.97526153
bin1821	1009.9749667325
bin1823	21.7198917576882
bin1824	54.2997293942205
bin1829	10.8599458788441
bin1832	13553.2124567974
bin1834	242328.832340527
bin1835	979610.558055253
bin1837	76.0196211519087
bin1839	10.8599458788441
bin1842	282.358592849946
bin1849	1303.19350546129
bin1850	1031.69485849019
bin1851	1683.29161122083
bin1852	1216.31393843054
